MATCH    @ [         13][         20]: spike=0, residue=23
MATCH    @ [         14][          0]: spike=1, residue=9
MATCH    @ [         14][          1]: spike=1, residue=10
MATCH    @ [         14][          2]: spike=1, residue=16
MATCH    @ [         14][          3]: spike=1, residue=12
MATCH    @ [         14][          4]: spike=1, residue=6
MATCH    @ [         14][          5]: spike=0, residue=28
MATCH    @ [         14][          6]: spike=0, residue=18
MATCH    @ [         14][          7]: spike=0, residue=24
MATCH    @ [         14][          8]: spike=0, residue=23
MATCH    @ [         14][          9]: spike=0, residue=20
MATCH    @ [         14][         10]: spike=0, residue=26
MATCH    @ [         14][         11]: spike=1, residue=4
MATCH    @ [         14][         12]: spike=1, residue=3
MATCH    @ [         14][         13]: spike=1, residue=6
MATCH    @ [         14][         14]: spike=0, residue=24
MATCH    @ [         14][         15]: spike=0, residue=24
MATCH    @ [         14][         16]: spike=0, residue=24
MATCH    @ [         14][         17]: spike=0, residue=25
MATCH    @ [         14][         18]: spike=0, residue=26
MATCH    @ [         14][         19]: spike=0, residue=24
MATCH    @ [         14][         20]: spike=0, residue=30
MATCH    @ [         15][          0]: spike=1, residue=12
MATCH    @ [         15][          1]: spike=1, residue=10
MATCH    @ [         15][          2]: spike=1, residue=11
MATCH    @ [         15][          3]: spike=1, residue=1
MATCH    @ [         15][          4]: spike=0, residue=29
MATCH    @ [         15][          5]: spike=0, residue=28
MATCH    @ [         15][          6]: spike=0, residue=25
MATCH    @ [         15][          7]: spike=0, residue=26
MATCH    @ [         15][          8]: spike=0, residue=22
MATCH    @ [         15][          9]: spike=0, residue=30
MATCH    @ [         15][         10]: spike=1, residue=3
MATCH    @ [         15][         11]: spike=1, residue=11
MATCH    @ [         15][         12]: spike=1, residue=7
MATCH    @ [         15][         13]: spike=0, residue=32
MATCH    @ [         15][         14]: spike=0, residue=29
MATCH    @ [         15][         15]: spike=0, residue=32
MATCH    @ [         15][         16]: spike=0, residue=28
MATCH    @ [         15][         17]: spike=1, residue=2
MATCH    @ [         15][         18]: spike=1, residue=4
MATCH    @ [         15][         19]: spike=1, residue=5
MATCH    @ [         15][         20]: spike=1, residue=9
MATCH    @ [         16][          0]: spike=1, residue=2
MATCH    @ [         16][          1]: spike=1, residue=2
MATCH    @ [         16][          2]: spike=1, residue=7
MATCH    @ [         16][          3]: spike=1, residue=1
MATCH    @ [         16][          4]: spike=1, residue=4
MATCH    @ [         16][          5]: spike=1, residue=10
MATCH    @ [         16][          6]: spike=1, residue=2
MATCH    @ [         16][          7]: spike=1, residue=2
MATCH    @ [         16][          8]: spike=1, residue=5
MATCH    @ [         16][          9]: spike=0, residue=31
MATCH    @ [         16][         10]: spike=1, residue=4
MATCH    @ [         16][         11]: spike=1, residue=5
MATCH    @ [         16][         12]: spike=0, residue=22
MATCH    @ [         16][         13]: spike=0, residue=23
MATCH    @ [         16][         14]: spike=1, residue=8
MATCH    @ [         16][         15]: spike=1, residue=8
MATCH    @ [         16][         16]: spike=1, residue=2
MATCH    @ [         16][         17]: spike=1, residue=4
MATCH    @ [         16][         18]: spike=0, residue=29
MATCH    @ [         16][         19]: spike=0, residue=27
MATCH    @ [         16][         20]: spike=1, residue=1
MATCH    @ [         17][          0]: spike=1, residue=4
MATCH    @ [         17][          1]: spike=1, residue=8
MATCH    @ [         17][          2]: spike=0, residue=32
MATCH    @ [         17][          3]: spike=1, residue=8
MATCH    @ [         17][          4]: spike=1, residue=5
MATCH    @ [         17][          5]: spike=1, residue=8
MATCH    @ [         17][          6]: spike=0, residue=31
MATCH    @ [         17][          7]: spike=0, residue=29
MATCH    @ [         17][          8]: spike=1, residue=4
MATCH    @ [         17][          9]: spike=1, residue=4
MATCH    @ [         17][         10]: spike=0, residue=25
